n t
16770 438377
10047 155398
15330 363309
6316 60318
14321 329458
17473 459263
8031 95873
17926 481967
15634 370477
2661 10350
9596 139090
15011 348945
16551 507848
17137 439982
16705 422348
15387 361528
19213 566681
9820 146342
15084 338900
9731 145461
13565 278356
7812 100085
15391 351621
17732 469211
12549 233532
824 1085
3749 21899
11124 191663
4964 37556
13042 251332
15672 365167
7670 86853
19266 592762
6797 75257
7446 86660
13984 313198
8558 129983
6531 85743
11477 248336
14398 471587
1702 6360
7524 134701
258 128
5230 49828
5958 72340
5370 53192
18252 522337
10123 151340
14250 306271
4349 29460
8326 106015
29 1
8229 102328
17657 474689
4754 33633
8911 116712
13918 290660
9159 125397
11560 199050
823 1059
3245 15395
12774 243318
13745 283773
12114 216299
18325 496912
6278 58189
11997 213282
3247 15336
2868 12250
11307 187704
5068 37700
17480 458588
7511 83810
1308 2631
2530 9421
3949 23536
12658 237633
15650 363017
12178 217036
14955 329927
19865 581831
19874 607744
4605 31517
9812 141734
5845 51252
14728 338320
10262 154884
9387 128917
10998 180305
17575 455776
8704 112985
8201 105571
1286 2344
13906 287926
1855 5098
9191 123959
16834 419925
19489 571128
1317 2507
12009 232113
8471 106842
7483 85047
12029 218040
12870 242895
4041 24053
4428 28926
16790 432647
18918 579843
17112 447382
8433 118236
13264 272224
9947 150352
10397 161448
4812 34282
7376 78680
19214 544330
15611 358684
1633 5154
4406 28525
17702 466486
6869 71523
12638 256775
19945 621496
7679 103948
2615 10016
14010 291154
12417 225818
15461 351767
10754 173843
11809 205323
4568 31089
2049 6298
14406 308008
336 181
6702 67201
8352 121325
1293 3709
9714 151891
10852 180829
2220 7205
9785 142944
7800 90649
10702 168254
6872 77118
15854 396310
1531 3395
11825 206786
6075 54065
3321 16383
246 92
12891 243965
8583 110149
8755 114269
15037 337381
7367 81070
11986 210726
17370 446961
7288 81557
1385 3059
15751 370851
10706 170624
14083 291499
1019 1545
4089 24872
15141 338467
7201 77068
19405 572795
15095 336517
4311 28205
1582 3712
13562 272820
19182 549291
11052 186831
6885 70279
2960 12959
11603 200118
2573 9923
16095 389405
