n memo dp
91400 475 126
91600 516 125
91800 476 126
92000 519 126
92200 521 126
92400 483 127
92600 508 128
92800 532 127
93000 526 127
93200 514 128
93400 510 128
93600 516 128
93800 497 129
94000 547 130
94200 527 129
94400 521 130
94600 526 130
94800 523 130
95000 535 131
95200 520 130
95400 531 131
95600 555 131
95800 540 131
96000 556 131
96200 530 132
96400 526 133
96600 526 133
96800 547 133
97000 548 134
97200 550 133
97400 546 134
97600 514 134
97800 512 135
98000 524 135
98200 571 134
98400 543 135
98600 548 135
98800 561 136
99000 550 136
99200 565 136
99400 532 137
99600 541 137
99800 553 137
100000 546 138
100200 565 138
100400 548 138
100600 569 139
100800 555 139
101000 550 139
101200 557 139
101400 563 140
101600 552 139
101800 577 140
102000 532 141
102200 581 141
102400 572 140
102600 590 141
102800 572 142
103000 561 142
103200 588 142
103400 596 142
103600 585 142
103800 581 142
104000 564 143
104200 581 144
104400 602 144
104600 596 143
104800 603 144
105000 582 145
105200 588 145
105400 578 145
105600 586 145
105800 589 146
106000 603 146
106200 597 146
106400 573 147
106600 566 147
106800 610 147
107000 596 147
107200 597 148
107400 610 148
107600 604 148
107800 576 149
108000 601 149
108200 606 148
108400 559 149
108600 589 149
108800 591 151
109000 583 149
109200 629 150
109400 600 151
109600 599 152
109800 617 152
110000 596 153
110200 612 152
110400 624 153
110600 637 154
110800 654 153
111000 599 153
111200 627 153
111400 648 154
111600 632 154
111800 611 154
112000 631 153
112200 626 155
112400 638 155
112600 618 156
112800 606 155
113000 652 156
113200 644 156
113400 629 156
113600 622 157
113800 668 157
114000 631 156
114200 609 157
114400 641 158
114600 625 158
114800 641 158
115000 629 158
115200 628 159
115400 652 159
115600 630 159
115800 650 160
116000 650 160
116200 684 161
116400 641 160
116600 672 161
116800 613 161
117000 632 161
117200 674 162
117400 668 162
117600 668 162
117800 659 162
118000 639 163
118200 634 163
118400 665 164
118600 680 163
118800 662 164
119000 646 164
119200 691 164
119400 674 165
119600 663 165
119800 645 165
120000 674 165
120200 663 166
120400 694 166
120600 675 166
120800 675 167
121000 675 167
121200 710 167
121400 699 167
121600 671 168
121800 705 168
122000 684 168
122200 683 168
122400 696 169
122600 675 169
122800 669 169
123000 678 170
123200 709 170
123400 675 170
123600 713 170
123800 698 171
124000 709 171
124200 683 171
124400 692 171
124600 687 172
124800 704 172
125000 720 172
125200 702 173
125400 714 173
125600 689 173
125800 728 173
126000 708 174
126200 689 174
126400 696 174
126600 679 175
126800 709 175
127000 759 177
127200 666 176
127400 704 176
127600 704 176
127800 694 176
128000 713 176
128200 717 177
128400 680 177
128600 731 177
128800 749 178
129000 751 178
129200 697 178
129400 735 178
129600 696 179
129800 734 179
130000 744 179
130200 732 180
130400 692 180
130600 769 180
130800 748 180
131000 700 181
131200 744 181
131400 689 181
131600 707 181
131800 725 182
132000 731 182
132200 735 182
132400 753 183
132600 744 183
132800 732 183
133000 743 183
133200 768 185
133400 717 184
133600 735 184
133800 764 184
134000 769 185
134200 752 185
134400 710 185
134600 748 187
134800 734 186
135000 767 186
135200 755 186
135400 756 187
135600 764 187
135800 793 187
136000 794 188
136200 802 189
136400 800 188
136600 778 188
136800 785 189
137000 762 189
137200 756 189
137400 800 189
137600 798 190
137800 748 190
138000 768 190
138200 748 191
138400 787 191
138600 777 191
138800 806 191
139000 778 192
139200 742 192
139400 744 193
139600 794 193
139800 808 193
140000 801 193
140200 804 193
140400 784 194
140600 811 194
140800 814 194
141000 745 194
141200 718 195
141400 773 195
141600 789 195
141800 807 196
142000 772 196
142200 797 197
142400 795 196
142600 760 197
142800 827 197
143000 785 197
143200 800 197
143400 786 198
143600 813 198
143800 811 198
144000 819 199
144200 789 199
144400 812 200
144600 776 199
144800 795 200
145000 803 201
145200 841 202
145400 852 201
145600 831 201
145800 846 201
146000 811 202
146200 849 202
146400 818 202
146600 836 202
146800 840 203
147000 839 204
147200 802 203
147400 848 203
147600 841 204
147800 845 205
148000 807 204
148200 857 205
148400 832 205
148600 852 205
148800 820 206
149000 834 205
149200 838 206
149400 838 206
149600 844 206
149800 821 208
150000 855 207
150200 848 207
150400 865 207
150600 860 208
150800 763 208
151000 827 209
151200 868 209
151400 832 209
151600 840 209
151800 848 209
152000 846 210
152200 895 211
152400 852 212
152600 847 210
152800 855 211
153000 858 211
153200 871 211
153400 867 213
153600 878 212
153800 838 212
154000 850 213
154200 889 213
154400 864 213
154600 838 214
154800 835 214
155000 902 214
155200 828 215
155400 828 215
155600 891 216
155800 888 215
156000 907 215
156200 899 216
156400 896 216
156600 883 216
156800 872 217
157000 920 217
157200 884 220
157400 859 219
157600 890 218
157800 816 219
158000 854 219
158200 930 220
158400 874 219
158600 893 219
158800 878 219
159000 834 220
159200 897 221
159400 927 220
159600 919 221
159800 911 220
160000 894 221
160200 930 222
160400 863 222
160600 881 222
160800 922 224
161000 840 223
161200 910 222
161400 913 225
161600 911 223
161800 942 223
162000 907 224
162200 933 224
162400 929 225
162600 907 225
162800 931 226
163000 1209 228
163200 938 229
163400 928 228
163600 788 228
163800 925 228
164000 939 227
164200 939 227
164400 936 227
164600 943 228
164800 935 228
165000 946 228
165200 908 228
165400 936 229
165600 904 229
165800 948 230
166000 854 231
166200 963 230
166400 946 230
166600 952 231
166800 910 231
167000 944 231
167200 966 231
167400 944 232
167600 946 233
167800 993 232
168000 963 232
168200 720 233
168400 988 233
168600 970 233
168800 951 234
169000 989 233
169200 966 234
169400 977 234
169600 979 235
169800 957 235
170000 936 236
170200 978 235
170400 958 236
170600 990 238
170800 1000 237
171000 955 236
171200 934 237
171400 926 237
171600 975 238
