n t
16365 90
2681 27
8549 55
11015 66
8410 54
10113 62
14721 83
16591 91
6139 43
6364 44
14807 83
15327 85
2858 27
11146 66
15182 84
6763 46
17201 94
6211 44
7104 48
10505 64
4765 37
11108 66
12759 74
4505 35
9109 57
13230 75
18011 97
12364 72
16377 90
15769 87
15996 88
601 13
12208 71
11825 69
873 16
16575 91
5236 40
10339 63
16556 91
10239 62
10235 62
15007 84
1485 20
19936 107
12076 70
15079 84
12628 73
3916 33
457 12
18219 98
2824 27
15713 87
14897 83
12803 74
1970 22
12223 71
8185 53
15443 86
18564 100
17824 97
5093 38
10167 62
452 12
18640 100
17811 97
2797 27
8721 56
4034 33
9519 59
1511 27
3604 31
9263 58
15683 87
15646 87
4905 38
14327 90
1091 18
12073 70
11801 69
5099 38
12582 73
6508 45
14144 80
10464 63
7747 51
18392 102
1386 20
2276 25
1053 17
1986 23
5850 43
5921 43
560 14
19160 103
18340 99
1098 18
10353 63
947 16
10860 65
4624 36
19786 106
13998 79
6086 43
16857 92
16909 92
2832 27
1677 21
3185 30
1228 18
6347 45
2705 27
4453 36
1268 18
1948 23
2780 27
6089 44
15727 87
18531 100
1986 23
245 9
13262 76
15754 87
19244 103
14309 80
4637 36
13944 79
8765 63
976 17
5990 42
14851 83
7365 49
14725 82
2227 24
6073 44
15116 84
790 16
157 7
19283 103
4645 36
15378 85
17157 93
955 17
1008 16
14906 83
11005 65
60 6
3831 33
3752 32
7054 48
10711 64
3208 29
15249 85
7241 48
14216 80
6986 47
2881 27
19209 103
9196 58
8035 52
8781 56
5373 40
18979 102
1650 21
10185 62
10061 61
16889 92
18252 99
13018 74
9638 59
7975 51
11900 70
5664 41
3141 29
3004 28
2347 25
13392 77
13583 77
14473 81
2587 26
2446 25
12248 71
10081 61
16883 92
17684 96
7060 48
15420 86
19657 104
1914 23
16264 90
1380 19
18674 100
1754 21
8523 54
5425 40
13882 79
9054 57
13105 78
19638 105
17684 96
13596 77
5276 39
12881 74
18391 99
18636 100
14608 82
7784 51
1763 21
359 11
9700 60
9190 57
2596 26
15227 85
8542 54
2819 27
12174 71
332 10
17297 94
15699 87
3766 32
19803 106
19258 103
14050 79
19299 103
18182 98
5870 42
1740 22
2117 24
12781 74
18325 99
18909 101
12293 71
10116 62
6339 44
18496 100
7949 52
1947 22
2106 23
9989 61
1161 18
11366 67
17145 94
5914 43
17302 94
18127 98
14541 81
17421 95
4730 36
912 16
9300 58
16705 91
9483 59
1518 20
3916 33
8415 54
13878 79
16139 89
15078 84
15544 86
4269 34
16759 92
9372 58
18012 97
18248 98
5506 40
10805 65
3972 33
16618 91
3375 30
12460 72
3957 33
2474 25
15694 87
11337 74
15980 88
13023 75
9072 57
8853 56
18211 99
4808 37
2170 23
3723 32
11237 67
9489 59
8717 56
15411 86
18795 101
579 14
5244 39
8024 53
1136 18
5226 41
9822 61
8601 55
5975 42
8947 57
4596 36
7063 48
855 15
12108 71
14080 79
7524 50
13861 79
18622 101
4188 34
17983 97
13293 76
11754 69
19265 103
15784 87
519 12
8693 55
15393 85
6187 44
5610 41
9638 60
9131 58
19875 106
9874 61
6651 46
7053 47
19866 106
2181 24
16208 89
3730 32
15001 84
735 16
14026 79
2498 26
11495 68
17086 93
14706 83
6190 43
10929 66
16156 89
6279 44
8051 52
5503 40
14423 81
19188 103
12752 73
7362 49
882 16
17630 96
4801 37
888 16
2405 26
15985 88
19036 102
12697 73
206 8
7620 50
15743 87
12684 73
10499 63
15802 88
14084 79
5065 38
12959 74
16940 92
10591 64
8151 53
13474 77
11414 68
15724 87
14077 79
